,epoch,iters,G_lr,D_lr,G_L1,G_GAN,G_total,D_real,D_fake,time
0,0,100,0.00019999999494757503,0.00019999999494757503,0.3846813142299652,1.7727447748184204,40.240875244140625,0.648949384689331,0.8399480581283569,0 days 00:00:38.831377000
1,0,200,0.00019999999494757503,0.00019999999494757503,0.34151697158813477,2.6200931072235107,36.77178955078125,0.053427115082740784,0.09069569408893585,0 days 00:01:00.298037000
2,0,300,0.00019999999494757503,0.00019999999494757503,0.46686187386512756,2.6610705852508545,49.347259521484375,0.35223716497421265,0.08839520066976547,0 days 00:01:22.184863000
3,0,400,0.00019999999494757503,0.00019999999494757503,0.28400251269340515,3.063216209411621,31.46346664428711,0.05394544452428818,0.10093854367733002,0 days 00:01:46.564543000
0,1,100,0.00019999999494757503,0.00019999999494757503,0.36577391624450684,3.6298584938049316,40.207252502441406,0.35182985663414,0.04668806865811348,0 days 00:02:10.857637000
1,1,200,0.00019999999494757503,0.00019999999494757503,0.37337979674339294,1.114982008934021,38.45296096801758,0.9430403709411621,0.07216761261224747,0 days 00:02:37.248691000
2,1,300,0.00019999999494757503,0.00019999999494757503,0.3917680084705353,2.8528358936309814,42.02963638305664,0.0859392061829567,0.08404917269945145,0 days 00:03:05.334036000
3,1,400,0.00019999999494757503,0.00019999999494757503,0.4774359166622162,1.684964895248413,49.42855453491211,0.03618123009800911,0.14951848983764648,0 days 00:03:32.258353000
0,2,100,0.00019999999494757503,0.00019999999494757503,0.27032580971717834,2.071209669113159,29.103790283203125,0.8153215646743774,0.7345075011253357,0 days 00:04:02.154515000
1,2,200,0.00019999999494757503,0.00019999999494757503,0.26750850677490234,2.301151990890503,29.052001953125,0.5874948501586914,0.18665283918380737,0 days 00:04:26.103834000
2,2,300,0.00019999999494757503,0.00019999999494757503,0.35198596119880676,2.338928699493408,37.53752517700195,0.06843670457601547,0.5358952283859253,0 days 00:04:49.832255000
3,2,400,0.00019999999494757503,0.00019999999494757503,0.32687467336654663,0.7601054310798645,33.44757080078125,0.45232972502708435,0.8910696506500244,0 days 00:05:15.851858000
0,3,100,0.00019999999494757503,0.00019999999494757503,0.3972141742706299,3.8352012634277344,43.556617736816406,0.3284328877925873,0.029194120317697525,0 days 00:05:42.961168000
1,3,200,0.00019999999494757503,0.00019999999494757503,0.40406957268714905,1.6533292531967163,42.06028366088867,0.008418633602559566,0.09631138294935226,0 days 00:06:08.460588000
2,3,300,0.00019999999494757503,0.00019999999494757503,0.2835671603679657,1.9341827630996704,30.2908992767334,0.17580127716064453,0.12336909770965576,0 days 00:06:33.316948000
3,3,400,0.00019999999494757503,0.00019999999494757503,0.2663481533527374,0.6383799910545349,27.273195266723633,0.09564164280891418,1.5050183534622192,0 days 00:06:58.617886000
0,4,100,0.00019999999494757503,0.00019999999494757503,0.291456937789917,2.0293445587158203,31.175039291381836,0.054707057774066925,0.4240604043006897,0 days 00:07:27.419299000
1,4,200,0.00019999999494757503,0.00019999999494757503,0.3296124041080475,2.7306277751922607,35.69186782836914,0.3419175446033478,0.08503420650959015,0 days 00:07:54.568877000
2,4,300,0.00019999999494757503,0.00019999999494757503,0.29758837819099426,2.2442946434020996,32.00313186645508,0.46553704142570496,0.2405913770198822,0 days 00:08:21.559515000
3,4,400,0.00019999999494757503,0.00019999999494757503,0.3635200560092926,2.512772560119629,38.864776611328125,0.04660520702600479,0.14550231397151947,0 days 00:08:48.502778000
0,5,100,0.00019999999494757503,0.00019999999494757503,0.41153040528297424,3.8162848949432373,44.96932601928711,0.13248877227306366,0.046883050352334976,0 days 00:09:13.980144000
1,5,200,0.00019999999494757503,0.00019999999494757503,0.3119279742240906,1.1647909879684448,32.35758590698242,0.39570146799087524,0.5597920417785645,0 days 00:09:35.135573000
2,5,300,0.00019999999494757503,0.00019999999494757503,0.37813010811805725,3.712538719177246,41.525550842285156,0.016301622614264488,0.01597965694963932,0 days 00:09:56.533224000
3,5,400,0.00019999999494757503,0.00019999999494757503,0.2792070209980011,1.6529284715652466,29.573631286621094,0.24070674180984497,0.13270874321460724,0 days 00:10:18.545212000
0,6,100,0.00019999999494757503,0.00019999999494757503,0.30552375316619873,2.875112771987915,33.427490234375,2.01167368888855,0.014400843530893326,0 days 00:10:40.862327000
1,6,200,0.00019999999494757503,0.00019999999494757503,0.34756484627723694,3.3790385723114014,38.13552474975586,0.09725464880466461,0.06710897386074066,0 days 00:11:01.802622000
2,6,300,0.00019999999494757503,0.00019999999494757503,0.3647042214870453,2.803184747695923,39.27360534667969,0.517422616481781,0.5472507476806641,0 days 00:11:23.678789000
3,6,400,0.00019999999494757503,0.00019999999494757503,0.5691929459571838,2.66845440864563,59.58774948120117,0.06638652086257935,0.11203464865684509,0 days 00:11:45.346076000
