,epoch,iters,G_lr,D_lr,G_L1,G_GAN,G_total,D_real,D_fake,time
0,0,99,0.00019999999494757503,0.00019999999494757503,0.2685966193675995,1.1276246309280396,54.846946716308594,0.14224833250045776,0.19403591752052307,0 days 00:00:26.290179000
1,0,199,0.00019999999494757503,0.00019999999494757503,0.32769879698753357,1.9059772491455078,67.44573211669922,0.0625799298286438,0.0611766017973423,0 days 00:00:44.601399000
2,0,299,0.00019999999494757503,0.00019999999494757503,0.3911113739013672,1.1626783609390259,79.38495635986328,0.03300401568412781,0.04870601370930672,0 days 00:01:03.090601000
3,0,399,0.00019999999494757503,0.00019999999494757503,0.2878701388835907,1.548357605934143,59.12238693237305,0.06956464052200317,0.051364716142416,0 days 00:01:21.172422000
0,1,99,0.00019999999494757503,0.00019999999494757503,0.44001755118370056,2.0059919357299805,90.0094985961914,0.015608257614076138,0.048574645072221756,0 days 00:01:40.125444000
1,1,199,0.00019999999494757503,0.00019999999494757503,0.34751129150390625,2.548485040664673,72.05074310302734,0.03697724640369415,0.013691107742488384,0 days 00:01:58.677468000
2,1,299,0.00019999999494757503,0.00019999999494757503,0.32989299297332764,2.4904541969299316,68.46905517578125,0.11394840478897095,0.03139529377222061,0 days 00:02:16.676553000
3,1,399,0.00019999999494757503,0.00019999999494757503,0.24124683439731598,0.7733758091926575,49.022743225097656,0.3155539035797119,0.5007544159889221,0 days 00:02:34.800199000
0,2,99,0.00019999999494757503,0.00019999999494757503,0.3458758294582367,2.0632128715515137,71.23837280273438,0.002421080367639661,0.028339480981230736,0 days 00:02:53.906210000
1,2,199,0.00019999999494757503,0.00019999999494757503,0.3226960003376007,2.6032631397247314,67.14246368408203,0.002285250462591648,0.06601940840482712,0 days 00:03:12.330288000
2,2,299,0.00019999999494757503,0.00019999999494757503,0.5469238758087158,4.026754856109619,113.41152954101562,0.001859854208305478,0.00479686027392745,0 days 00:03:30.746955000
3,2,399,0.00019999999494757503,0.00019999999494757503,0.3100182116031647,1.279637336730957,63.28327941894531,0.0018068226054310799,0.09209144115447998,0 days 00:03:48.952595000
0,3,99,0.00019999999494757503,0.00019999999494757503,0.26584091782569885,1.2473875284194946,54.41556930541992,0.036854445934295654,0.08819880336523056,0 days 00:04:07.786062000
1,3,199,0.00019999999494757503,0.00019999999494757503,0.41526031494140625,2.085467576980591,85.13752746582031,0.0014563367003574967,0.014375091530382633,0 days 00:04:26.142781000
2,3,299,0.00019999999494757503,0.00019999999494757503,0.331173300743103,2.8385496139526367,69.07320404052734,0.006803302560001612,0.019085735082626343,0 days 00:04:44.316643000
3,3,399,0.00019999999494757503,0.00019999999494757503,0.34004971385002136,0.5103605389595032,68.52030181884766,0.024172086268663406,0.05431678518652916,0 days 00:05:02.487697000
0,4,99,0.00019999999494757503,0.00019999999494757503,0.43029093742370605,5.081086158752441,91.13927459716797,0.05687885358929634,0.003319763345643878,0 days 00:05:21.932037000
1,4,199,0.00019999999494757503,0.00019999999494757503,0.3319994807243347,3.9061222076416016,70.30601501464844,0.0006710060988552868,0.0037230534944683313,0 days 00:05:40.021414000
2,4,299,0.00019999999494757503,0.00019999999494757503,0.44854506850242615,1.718740463256836,91.4277572631836,0.0006136887823231518,0.0263441763818264,0 days 00:05:57.906626000
3,4,399,0.00019999999494757503,0.00019999999494757503,0.4625992476940155,2.9828524589538574,95.50270080566406,0.0008422815008088946,0.005497971549630165,0 days 00:06:15.807256000
0,5,99,0.00019999999494757503,0.00019999999494757503,0.3434266149997711,1.6054755449295044,70.29080200195312,0.0043716696090996265,0.03062463365495205,0 days 00:06:34.980434000
1,5,199,0.00019999999494757503,0.00019999999494757503,0.33741435408592224,2.458296537399292,69.94116973876953,0.011454829014837742,0.00405121548101306,0 days 00:06:53.184806000
2,5,299,0.00019999999494757503,0.00019999999494757503,0.32727721333503723,2.809192657470703,68.26463317871094,0.07848504930734634,0.01991858147084713,0 days 00:07:11.438431000
3,5,399,0.00019999999494757503,0.00019999999494757503,0.41166481375694275,1.6874303817749023,84.02039337158203,0.00023835329920984805,0.014936646446585655,0 days 00:07:29.650140000
0,6,99,0.00019999999494757503,0.00019999999494757503,0.38659438490867615,1.3361632823944092,78.65504455566406,0.15976379811763763,0.036527637392282486,0 days 00:07:48.440808000
1,6,199,0.00019999999494757503,0.00019999999494757503,0.5247719287872314,3.2192625999450684,108.17364501953125,0.001015370711684227,0.021583162248134613,0 days 00:08:06.756513000
2,6,299,0.00019999999494757503,0.00019999999494757503,0.25324198603630066,2.8922178745269775,53.54061508178711,0.7656368613243103,0.7396168112754822,0 days 00:08:25.009592000
3,6,399,0.00019999999494757503,0.00019999999494757503,0.47417011857032776,3.6640944480895996,98.49811553955078,0.02065121755003929,0.008519825525581837,0 days 00:08:43.461489000
0,7,99,0.00019999999494757503,0.00019999999494757503,0.20252852141857147,1.090778112411499,41.59648132324219,0.1899396926164627,0.10549003630876541,0 days 00:09:02.532190000
1,7,199,0.00019999999494757503,0.00019999999494757503,0.27790215611457825,1.8938769102096558,57.474308013916016,0.016607414931058884,0.015757910907268524,0 days 00:09:20.625460000
2,7,299,0.00019999999494757503,0.00019999999494757503,0.3981071412563324,0.8825610876083374,80.50399017333984,0.00047175746294669807,0.05942561849951744,0 days 00:09:38.513597000
3,7,399,0.00019999999494757503,0.00019999999494757503,0.2816941738128662,0.29818201065063477,56.637020111083984,0.04764842987060547,0.15105324983596802,0 days 00:09:56.689674000
0,8,99,0.00019999999494757503,0.00019999999494757503,0.3544290065765381,1.9216561317443848,72.80745697021484,0.0013668480096384883,0.01486196555197239,0 days 00:10:15.702958000
1,8,199,0.00019999999494757503,0.00019999999494757503,0.23550653457641602,1.749544620513916,48.850852966308594,0.021128445863723755,0.015358607284724712,0 days 00:10:33.845244000
2,8,299,0.00019999999494757503,0.00019999999494757503,0.20441503822803497,0.14745202660560608,41.030460357666016,1.7884838581085205,0.24703146517276764,0 days 00:10:51.835658000
3,8,399,0.00019999999494757503,0.00019999999494757503,0.38625121116638184,1.1344367265701294,78.38468170166016,0.0024752425961196423,0.00796449463814497,0 days 00:11:09.893666000
0,9,99,0.00019999999494757503,0.00019999999494757503,0.3308916985988617,2.0956521034240723,68.27398681640625,0.04143459349870682,0.019858412444591522,0 days 00:11:28.997679000
