,epoch,iters,G_L1,G_GAN,G_total,D_loss,time,random_seed
0,0,100,45.50712203979492,2.7956759929656982,48.302799224853516,0.050051212310791016,0 days 00:00:28.610860000,9678
1,0,200,24.883516311645508,2.545391082763672,27.42890739440918,0.1482027769088745,0 days 00:00:53.224501000,9678
2,0,300,41.885162353515625,2.182015895843506,44.067176818847656,0.3020593523979187,0 days 00:01:17.698177000,9678
3,0,400,33.0161247253418,2.341604471206665,35.357730865478516,0.5122661590576172,0 days 00:01:42.751520000,9678
0,1,100,31.135889053344727,3.0937423706054688,34.22962951660156,0.10934767127037048,0 days 00:02:08.686203000,9678
1,1,200,23.872323989868164,2.184096574783325,26.056421279907227,0.2556086778640747,0 days 00:02:33.605632000,9678
2,1,300,29.764184951782227,4.542268753051758,34.306453704833984,0.02726750448346138,0 days 00:02:58.171409000,9678
3,1,400,27.67136001586914,3.070711851119995,30.7420711517334,0.1794297844171524,0 days 00:03:22.780807000,9678
0,2,100,30.263629913330078,1.2651525735855103,31.52878189086914,0.27821171283721924,0 days 00:03:48.466344000,9678
1,2,200,32.923439025878906,2.2669198513031006,35.19035720825195,0.13674913346767426,0 days 00:04:13.076550000,9678
2,2,300,31.660154342651367,1.5250730514526367,33.18522644042969,0.2533867061138153,0 days 00:04:38.301412000,9678
3,2,400,26.84564208984375,3.6932268142700195,30.538867950439453,0.11096616089344025,0 days 00:05:03.015761000,9678
0,3,100,28.383710861206055,1.0784891843795776,29.462200164794922,0.3870728313922882,0 days 00:05:28.731422000,9678
1,3,200,37.82815933227539,2.492675304412842,40.32083511352539,0.4369339644908905,0 days 00:05:53.600286000,9678
2,3,300,32.47881317138672,3.1542539596557617,35.6330680847168,0.19032716751098633,0 days 00:06:18.511066000,9678
3,3,400,48.91448974609375,2.3753342628479004,51.289825439453125,0.8533903956413269,0 days 00:06:43.440737000,9678
0,4,100,38.6829833984375,3.1943814754486084,41.87736511230469,0.23802286386489868,0 days 00:07:09.237945000,9678
1,4,200,29.745588302612305,2.7941031455993652,32.53969192504883,0.33237186074256897,0 days 00:07:33.897280000,9678
2,4,300,42.229068756103516,1.8260859251022339,44.055152893066406,0.6965530514717102,0 days 00:07:59.415533000,9678
3,4,400,39.40256118774414,2.872326135635376,42.27488708496094,0.11386407911777496,0 days 00:08:24.427573000,9678
0,5,100,38.62837600708008,2.1123433113098145,40.740718841552734,0.5677962303161621,0 days 00:08:50.479959000,9678
1,5,200,27.332881927490234,3.6303117275238037,30.963193893432617,0.22295460104942322,0 days 00:09:15.527886000,9678
2,5,300,29.792919158935547,2.1615800857543945,31.954498291015625,0.11140023916959763,0 days 00:09:40.451756000,9678
3,5,400,19.963552474975586,2.890711784362793,22.854263305664062,0.3668944239616394,0 days 00:10:05.348166000,9678
0,6,100,35.41716384887695,2.113637685775757,37.530799865722656,0.17840082943439484,0 days 00:10:30.899631000,9678
1,6,200,31.27798080444336,1.5332486629486084,32.81122970581055,0.28090524673461914,0 days 00:10:55.455995000,9678
2,6,300,29.959762573242188,1.8141961097717285,31.773958206176758,0.2724636495113373,0 days 00:11:19.993640000,9678
3,6,400,34.68654251098633,1.738461971282959,36.42500305175781,0.2176181972026825,0 days 00:11:44.789678000,9678
0,7,100,30.442575454711914,3.4598307609558105,33.90240478515625,0.3564568758010864,0 days 00:12:10.097473000,9678
