,epoch,iters,G_lr,D_lr,G_L1,G_GAN,G_total,D_loss,time,random_seed
0,0,100,0.00019801980198019803,0.00019801980198019803,45.6915397644043,4.012396812438965,49.70393753051758,0.031355250626802444,0 days 00:00:34.264488000,9678
1,0,200,0.00019801980198019803,0.00019801980198019803,29.64569091796875,1.4478073120117188,31.09349822998047,0.278418630361557,0 days 00:01:03.455505000,9678
2,0,300,0.00019801980198019803,0.00019801980198019803,40.30752944946289,1.356310248374939,41.663841247558594,0.6634390354156494,0 days 00:01:33.085158000,9678
3,0,400,0.00019801980198019803,0.00019801980198019803,37.77473068237305,1.9527407884597778,39.72747039794922,0.6041914224624634,0 days 00:02:02.765198000,9678
0,1,100,0.00019801980198019803,0.00019801980198019803,30.915620803833008,3.448699712753296,34.36431884765625,0.09466277062892914,0 days 00:02:32.716478000,9678
1,1,200,0.00019801980198019803,0.00019801980198019803,24.405973434448242,1.6236915588378906,26.029664993286133,0.37362635135650635,0 days 00:03:01.847506000,9678
2,1,300,0.00019801980198019803,0.00019801980198019803,29.860349655151367,4.749866485595703,34.61021423339844,0.02477780170738697,0 days 00:03:31.320078000,9678
3,1,400,0.00019801980198019803,0.00019801980198019803,28.161243438720703,3.1366264820098877,31.297870635986328,0.3569446802139282,0 days 00:04:02.712699000,9678
0,2,100,0.00019801980198019803,0.00019801980198019803,31.280426025390625,2.752781629562378,34.033206939697266,0.25762805342674255,0 days 00:04:31.849666000,9678
1,2,200,0.00019801980198019803,0.00019801980198019803,31.472930908203125,2.82832407951355,34.30125427246094,0.15560047328472137,0 days 00:04:59.690681000,9678
2,2,300,0.00019801980198019803,0.00019801980198019803,29.580127716064453,1.2027111053466797,30.782838821411133,0.2424951195716858,0 days 00:05:29.110480000,9678
3,2,400,0.00019801980198019803,0.00019801980198019803,27.048635482788086,2.3763270378112793,29.424962997436523,0.20676925778388977,0 days 00:05:58.811465000,9678
0,3,100,0.00019801980198019803,0.00019801980198019803,26.54990005493164,1.3288511037826538,27.878751754760742,0.1711474508047104,0 days 00:06:28.400506000,9678
1,3,200,0.00019801980198019803,0.00019801980198019803,35.36636734008789,1.467215657234192,36.83358383178711,0.5504061579704285,0 days 00:06:57.139423000,9678
2,3,300,0.00019801980198019803,0.00019801980198019803,31.775421142578125,1.4400843381881714,33.21550369262695,0.09888537973165512,0 days 00:07:27.013090000,9678
3,3,400,0.00019801980198019803,0.00019801980198019803,45.95604705810547,3.227424383163452,49.1834716796875,1.385089635848999,0 days 00:07:56.842226000,9678
0,4,100,0.00019801980198019803,0.00019801980198019803,37.76545715332031,1.563676118850708,39.329132080078125,0.22093364596366882,0 days 00:08:26.960902000,9678
1,4,200,0.00019801980198019803,0.00019801980198019803,29.66192054748535,1.5962923765182495,31.25821304321289,0.3137768805027008,0 days 00:08:55.079214000,9678
2,4,300,0.00019801980198019803,0.00019801980198019803,43.88223648071289,2.6493947505950928,46.53163146972656,0.6432973146438599,0 days 00:09:23.485047000,9678
3,4,400,0.00019801980198019803,0.00019801980198019803,41.59988021850586,2.7403314113616943,44.3402099609375,0.08596592396497726,0 days 00:09:53.167476000,9678
0,5,100,0.00019801980198019803,0.00019801980198019803,37.069740295410156,1.9573756456375122,39.02711486816406,0.42575734853744507,0 days 00:10:23.398415000,9678
1,5,200,0.00019801980198019803,0.00019801980198019803,28.089269638061523,2.323923110961914,30.413192749023438,0.1592225432395935,0 days 00:10:52.532780000,9678
2,5,300,0.00019801980198019803,0.00019801980198019803,30.91843032836914,2.1391658782958984,33.057594299316406,0.07020474970340729,0 days 00:11:21.708065000,9678
3,5,400,0.00019801980198019803,0.00019801980198019803,20.61668586730957,2.946044921875,23.56273078918457,0.40049558877944946,0 days 00:11:50.255482000,9678
0,6,100,0.00019801980198019803,0.00019801980198019803,32.41414260864258,2.0441627502441406,34.45830535888672,0.2880784273147583,0 days 00:12:21.127608000,9678
1,6,200,0.00019801980198019803,0.00019801980198019803,31.200101852416992,1.7777553796768188,32.97785568237305,0.30459365248680115,0 days 00:12:50.832150000,9678
2,6,300,0.00019801980198019803,0.00019801980198019803,31.5858154296875,1.466570258140564,33.05238723754883,0.33926451206207275,0 days 00:13:19.853675000,9678
3,6,400,0.00019801980198019803,0.00019801980198019803,36.41994857788086,1.9630178213119507,38.382965087890625,0.11920599639415741,0 days 00:13:49.527014000,9678
0,7,100,0.00019801980198019803,0.00019801980198019803,26.14993667602539,2.187664747238159,28.337600708007812,0.46862998604774475,0 days 00:14:20.030219000,9678
1,7,200,0.00019801980198019803,0.00019801980198019803,33.21017074584961,2.270416498184204,35.480587005615234,0.5869506001472473,0 days 00:14:48.452073000,9678
2,7,300,0.00019801980198019803,0.00019801980198019803,47.92919921875,1.1736568212509155,49.10285568237305,0.19040261209011078,0 days 00:15:18.181040000,9678
3,7,400,0.00019801980198019803,0.00019801980198019803,40.542362213134766,2.9550843238830566,43.4974479675293,0.056261420249938965,0 days 00:15:46.205022000,9678
0,8,100,0.00019801980198019803,0.00019801980198019803,26.407087326049805,2.766211986541748,29.17329978942871,0.17192690074443817,0 days 00:16:16.057623000,9678
1,8,200,0.00019801980198019803,0.00019801980198019803,25.216651916503906,3.3784916400909424,28.595144271850586,0.24824342131614685,0 days 00:16:45.927432000,9678
2,8,300,0.00019801980198019803,0.00019801980198019803,34.1654052734375,2.8815410137176514,37.04694747924805,0.05336754024028778,0 days 00:17:15.823933000,9678
3,8,400,0.00019801980198019803,0.00019801980198019803,30.000452041625977,2.9677555561065674,32.96820831298828,0.25088760256767273,0 days 00:17:45.702988000,9678
0,9,100,0.00019801980198019803,0.00019801980198019803,42.486873626708984,1.5088618993759155,43.99573516845703,0.23636463284492493,0 days 00:18:16.218438000,9678
1,9,200,0.00019801980198019803,0.00019801980198019803,38.17487716674805,3.0571179389953613,41.23199462890625,0.32497116923332214,0 days 00:18:46.349479000,9678
2,9,300,0.00019801980198019803,0.00019801980198019803,33.10506820678711,1.4267476797103882,34.53181457519531,0.9891761541366577,0 days 00:19:16.719125000,9678
3,9,400,0.00019801980198019803,0.00019801980198019803,31.59669303894043,1.6303762197494507,33.22706985473633,0.26772043108940125,0 days 00:19:46.532557000,9678
0,10,100,0.00019801980198019803,0.00019801980198019803,30.976768493652344,2.466388463973999,33.44315719604492,0.15254101157188416,0 days 00:20:17.164915000,9678
1,10,200,0.00019801980198019803,0.00019801980198019803,45.73893737792969,2.4680845737457275,48.20702362060547,0.3430894911289215,0 days 00:20:46.655077000,9678
2,10,300,0.00019801980198019803,0.00019801980198019803,33.31424331665039,2.7866854667663574,36.100929260253906,0.7709195613861084,0 days 00:21:15.661921000,9678
3,10,400,0.00019801980198019803,0.00019801980198019803,31.363317489624023,1.4875102043151855,32.850826263427734,0.09509303420782089,0 days 00:21:45.326492000,9678
0,11,100,0.00019801980198019803,0.00019801980198019803,26.809844970703125,2.301529884338379,29.111373901367188,0.6961771249771118,0 days 00:22:15.832715000,9678
1,11,200,0.00019801980198019803,0.00019801980198019803,29.44687843322754,1.77499520778656,31.221874237060547,0.13747872412204742,0 days 00:22:45.904550000,9678
2,11,300,0.00019801980198019803,0.00019801980198019803,25.86102867126465,3.8074042797088623,29.668432235717773,0.03298122063279152,0 days 00:23:15.842598000,9678
3,11,400,0.00019801980198019803,0.00019801980198019803,33.25210952758789,1.2523826360702515,34.504493713378906,0.4492318630218506,0 days 00:23:45.037047000,9678
0,12,100,0.00019801980198019803,0.00019801980198019803,36.27218246459961,2.2452588081359863,38.51744079589844,0.25177156925201416,0 days 00:24:15.567789000,9678
1,12,200,0.00019801980198019803,0.00019801980198019803,44.00000762939453,2.0999786853790283,46.0999870300293,0.24665243923664093,0 days 00:24:44.437270000,9678
2,12,300,0.00019801980198019803,0.00019801980198019803,18.51277732849121,2.9244766235351562,21.437253952026367,0.11102940142154694,0 days 00:25:14.172759000,9678
3,12,400,0.00019801980198019803,0.00019801980198019803,39.64909362792969,1.0217944383621216,40.6708869934082,0.6049935817718506,0 days 00:25:43.599283000,9678
0,13,100,0.00019801980198019803,0.00019801980198019803,29.254154205322266,1.9288173913955688,31.182971954345703,1.0752983093261719,0 days 00:26:13.862843000,9678
1,13,200,0.00019801980198019803,0.00019801980198019803,44.096649169921875,1.6709175109863281,45.7675666809082,0.31157076358795166,0 days 00:26:43.395387000,9678
2,13,300,0.00019801980198019803,0.00019801980198019803,26.18488883972168,1.4559515714645386,27.640840530395508,0.32727479934692383,0 days 00:27:12.821610000,9678
3,13,400,0.00019801980198019803,0.00019801980198019803,36.45057678222656,2.8319056034088135,39.2824821472168,0.38621532917022705,0 days 00:27:41.813377000,9678
0,14,100,0.00019801980198019803,0.00019801980198019803,22.787689208984375,1.643726110458374,24.431415557861328,0.28077805042266846,0 days 00:28:12.154483000,9678
1,14,200,0.00019801980198019803,0.00019801980198019803,32.919456481933594,1.638892412185669,34.558349609375,0.20800459384918213,0 days 00:28:39.884876000,9678
2,14,300,0.00019801980198019803,0.00019801980198019803,31.832721710205078,2.2265288829803467,34.05924987792969,0.13255923986434937,0 days 00:29:08.929316000,9678
3,14,400,0.00019801980198019803,0.00019801980198019803,35.509674072265625,2.439592123031616,37.94926452636719,0.1603529453277588,0 days 00:29:38.444810000,9678
0,15,100,0.00019801980198019803,0.00019801980198019803,31.082046508789062,1.6664239168167114,32.748470306396484,0.18457287549972534,0 days 00:30:09.159971000,9678
1,15,200,0.00019801980198019803,0.00019801980198019803,31.191375732421875,2.192326545715332,33.38370132446289,0.057014405727386475,0 days 00:30:38.479953000,9678
2,15,300,0.00019801980198019803,0.00019801980198019803,28.340852737426758,2.489771604537964,30.830623626708984,0.23024620115756989,0 days 00:31:07.343363000,9678
3,15,400,0.00019801980198019803,0.00019801980198019803,25.628307342529297,2.040742874145508,27.669050216674805,0.2221887856721878,0 days 00:31:36.505961000,9678
0,16,100,0.00019801980198019803,0.00019801980198019803,40.83170700073242,1.5096193552017212,42.34132766723633,0.3735918402671814,0 days 00:32:06.897929000,9678
1,16,200,0.00019801980198019803,0.00019801980198019803,32.55401611328125,3.001227378845215,35.55524444580078,0.1234087273478508,0 days 00:32:36.242690000,9678
2,16,300,0.00019801980198019803,0.00019801980198019803,33.56107711791992,2.6176722049713135,36.178749084472656,0.060514602810144424,0 days 00:33:06.093610000,9678
3,16,400,0.00019801980198019803,0.00019801980198019803,45.069026947021484,1.4676320552825928,46.536659240722656,0.772335410118103,0 days 00:33:35.895321000,9678
0,17,100,0.00019801980198019803,0.00019801980198019803,26.38597869873047,2.449429988861084,28.83540916442871,0.1883746087551117,0 days 00:34:06.645885000,9678
1,17,200,0.00019801980198019803,0.00019801980198019803,31.2933349609375,1.7101833820343018,33.003517150878906,0.3785318434238434,0 days 00:34:34.874994000,9678
2,17,300,0.00019801980198019803,0.00019801980198019803,32.054195404052734,1.436692714691162,33.49088668823242,0.3600344955921173,0 days 00:35:02.652136000,9678
3,17,400,0.00019801980198019803,0.00019801980198019803,30.253591537475586,1.9507806301116943,32.20437240600586,0.4528847932815552,0 days 00:35:32.148809000,9678
0,18,100,0.00019801980198019803,0.00019801980198019803,26.445091247558594,2.4772579669952393,28.92234992980957,0.06694573163986206,0 days 00:36:00.535041000,9678
1,18,200,0.00019801980198019803,0.00019801980198019803,28.765857696533203,2.3593804836273193,31.1252384185791,0.96809983253479,0 days 00:36:29.220805000,9678
2,18,300,0.00019801980198019803,0.00019801980198019803,19.984479904174805,1.3492512702941895,21.333730697631836,0.7508307695388794,0 days 00:36:59.201992000,9678
3,18,400,0.00019801980198019803,0.00019801980198019803,26.744783401489258,2.3076367378234863,29.052419662475586,0.3498697280883789,0 days 00:37:28.254858000,9678
0,19,100,0.00019801980198019803,0.00019801980198019803,31.50981330871582,2.178093194961548,33.68790817260742,0.14000442624092102,0 days 00:37:58.001670000,9678
1,19,200,0.00019801980198019803,0.00019801980198019803,31.211666107177734,1.5492792129516602,32.76094436645508,0.3631817400455475,0 days 00:38:26.643377000,9678
2,19,300,0.00019801980198019803,0.00019801980198019803,24.541942596435547,0.9672253131866455,25.50916862487793,0.2299671173095703,0 days 00:38:55.492248000,9678
3,19,400,0.00019801980198019803,0.00019801980198019803,32.50931930541992,2.2425708770751953,34.75189208984375,0.27521851658821106,0 days 00:39:23.343101000,9678
0,20,100,0.00019801980198019803,0.00019801980198019803,25.365642547607422,2.0083000659942627,27.373943328857422,0.31470987200737,0 days 00:39:52.172313000,9678
1,20,200,0.00019801980198019803,0.00019801980198019803,23.394973754882812,1.1146795749664307,24.509653091430664,0.3897368609905243,0 days 00:40:20.551110000,9678
2,20,300,0.00019801980198019803,0.00019801980198019803,21.866296768188477,2.3254518508911133,24.191749572753906,0.26830318570137024,0 days 00:40:48.991411000,9678
3,20,400,0.00019801980198019803,0.00019801980198019803,26.963329315185547,1.8712142705917358,28.834543228149414,0.6576519012451172,0 days 00:41:17.831148000,9678
0,21,100,0.00019801980198019803,0.00019801980198019803,28.277379989624023,2.0210962295532227,30.298477172851562,0.37071579694747925,0 days 00:41:48.595640000,9678
1,21,200,0.00019801980198019803,0.00019801980198019803,42.438270568847656,1.3658843040466309,43.80415344238281,0.6259158849716187,0 days 00:42:18.423702000,9678
2,21,300,0.00019801980198019803,0.00019801980198019803,25.09743309020996,2.758716344833374,27.856149673461914,0.28941795229911804,0 days 00:42:48.463387000,9678
3,21,400,0.00019801980198019803,0.00019801980198019803,34.3476448059082,1.7736376523971558,36.121280670166016,0.5967110395431519,0 days 00:43:17.870644000,9678
0,22,100,0.00019801980198019803,0.00019801980198019803,29.21142578125,2.6265134811401367,31.837940216064453,0.3398127555847168,0 days 00:43:48.662045000,9678
1,22,200,0.00019801980198019803,0.00019801980198019803,34.52379608154297,1.3114200830459595,35.8352165222168,0.3424832224845886,0 days 00:44:18.296615000,9678
2,22,300,0.00019801980198019803,0.00019801980198019803,24.493406295776367,2.361558675765991,26.854965209960938,0.2834394872188568,0 days 00:44:48.448910000,9678
3,22,400,0.00019801980198019803,0.00019801980198019803,26.115741729736328,2.4737071990966797,28.589448928833008,0.2017950564622879,0 days 00:45:17.111204000,9678
0,23,100,0.00019801980198019803,0.00019801980198019803,18.84844970703125,2.287849187850952,21.13629913330078,0.42272886633872986,0 days 00:45:46.995416000,9678
1,23,200,0.00019801980198019803,0.00019801980198019803,23.7001953125,1.090329885482788,24.790525436401367,0.16082194447517395,0 days 00:46:17.073603000,9678
2,23,300,0.00019801980198019803,0.00019801980198019803,22.38102912902832,2.6126840114593506,24.99371337890625,0.4331459701061249,0 days 00:46:46.508467000,9678
3,23,400,0.00019801980198019803,0.00019801980198019803,30.136493682861328,1.220215082168579,31.356708526611328,0.5045204162597656,0 days 00:47:14.750834000,9678
0,24,100,0.00019801980198019803,0.00019801980198019803,25.463401794433594,1.3822890520095825,26.845691680908203,0.18634077906608582,0 days 00:47:45.313505000,9678
1,24,200,0.00019801980198019803,0.00019801980198019803,31.94400405883789,2.025214433670044,33.96921920776367,0.22897285223007202,0 days 00:48:15.505153000,9678
2,24,300,0.00019801980198019803,0.00019801980198019803,31.114938735961914,1.4609737396240234,32.57591247558594,0.41046255826950073,0 days 00:48:45.654879000,9678
3,24,400,0.00019801980198019803,0.00019801980198019803,36.94411087036133,1.8864637613296509,38.83057403564453,0.5475789904594421,0 days 00:49:16.054163000,9678
0,25,100,0.00019801980198019803,0.00019801980198019803,20.676481246948242,1.5816136598587036,22.258094787597656,0.27725183963775635,0 days 00:49:46.580288000,9678
1,25,200,0.00019801980198019803,0.00019801980198019803,20.69032859802246,2.123446226119995,22.81377410888672,0.2025562822818756,0 days 00:50:16.697031000,9678
2,25,300,0.00019801980198019803,0.00019801980198019803,19.679100036621094,2.142110824584961,21.821210861206055,0.3747146725654602,0 days 00:50:46.349997000,9678
3,25,400,0.00019801980198019803,0.00019801980198019803,20.856983184814453,2.3315162658691406,23.188499450683594,0.2552037537097931,0 days 00:51:16.327230000,9678
0,26,100,0.00019801980198019803,0.00019801980198019803,25.044139862060547,2.748897075653076,27.79303741455078,0.521641194820404,0 days 00:51:47.495499000,9678
